VIN,year,model,description,certified,convertible,M,Mileage,Location,interior,exterior,engine,fuel,transmission,drivetrain,mpg_hw,mpg_city,driving_assistance,executive,luxury_rear_seating,M_sport,price
5UXKR2C52J0Z15529,2018,X5,X5 sDrive35i,1,0,0,30548,CA,Black SensaTec,Dark Graphite Metallic,3.0L STRAIGHT 6 CYLINDER,Gasoline,Automatic,RWD,25,18,0,0,0,0,38488
5UXKR2C55J0Z15542,2018,X5,X5 sDrive35i,1,0,0,40528,CA,Black SensaTec,Glacier Silver Metallic,3.0L STRAIGHT 6 CYLINDER,Gasoline,Automatic,RWD,25,18,0,0,0,0,32888
5UXKR2C56J0Z15808,2018,X5,X5 sDrive35i,1,0,0,29578,CA,Black SensaTec,Space Gray Metallic,3.0L STRAIGHT 6 CYLINDER,Gasoline,Automatic,RWD,25,18,0,0,0,0,35888
5UXKR2C59J0Z22607,2018,X5,X5 sDrive35i,1,0,0,35987,CA,Black SensaTec,Dark Graphite Metallic,3.0L STRAIGHT 6 CYLINDER,Gasoline,Automatic,RWD,25,18,1,0,0,0,38888
5UXKR2C5XJ0Z17903,2018,X5,X5 sDrive35i,1,0,0,24456,CA,Canberra Beige/Black Dakota Le,Alpine White,3.0L STRAIGHT 6 CYLINDER,Gasoline,Automatic,RWD,25,18,1,0,0,0,40888
5UXKR2C5XJ0Z18131,2018,X5,X5 sDrive35i,1,0,0,41946,CA,Canberra Beige/Black Dakota Le,Alpine White,3.0L STRAIGHT 6 CYLINDER,Gasoline,Automatic,RWD,25,18,1,0,0,1,40888
5UXKT0C54J0W01340,2018,X5,X5 xDrive40e iPerformance,1,0,0,29825,CA,Black Dakota Leather,Jet Black,2.0L 4 CYLINDER,Hybrid,Automatic,AWD,–,–,1,0,0,0,39888
5UXKT0C58J0W02183,2018,X5,X5 xDrive40e iPerformance,1,0,0,28883,CA,Black Dakota Leather,Space Gray Metallic,2.0L 4 CYLINDER,Hybrid,Automatic,AWD,–,–,1,0,0,0,41888
5UXKU2C55J0X49912,2018,X6,X6 xDrive35i,1,0,0,33140,CA,Ivory White/Blk Dakota Leather,Black Sapphire Metallic,3.0L STRAIGHT 6 CYLINDER,Gasoline,Automatic,AWD,24,18,1,0,0,0,44488
5UXKU2C5XJ0Z61382,2018,X6,X6 xDrive35i,1,0,0,43115,CA,Coral Red/Black Dakota Leather,Jet Black,3.0L STRAIGHT 6 CYLINDER,Gasoline,Automatic,AWD,24,18,0,0,0,0,44888
5UXTR9C51JLC82195,2018,X3,X3 xDrive30i,1,0,0,18208,CA,Black SensaTec,Dark Graphite Metallic,2.0L 4 CYLINDER,Gasoline,Automatic,AWD,29,22,0,0,0,0,35888
5UXTR9C55JLD62891,2018,X3,X3 xDrive30i,1,0,0,31347,CA,Black SensaTec,Alpine White,2.0L 4 CYLINDER,Gasoline,Automatic,AWD,29,22,1,0,0,0,34888
5UXTR9C57JLD65663,2018,X3,X3 xDrive30i,1,0,0,32510,CA,Black Vernasca Leather,Black Sapphire Metallic,2.0L 4 Cylinder,Gasoline,Automatic,AWD,29,22,1,0,0,1,36888
5UXTS3C52J0Y98097,2018,X3,X3 M40i,1,0,1,42670,CA,Black Leather w/blue stitching,Alpine White,3.0L STRAIGHT 6 CYLINDER,Gasoline,Automatic,AWD,27,20,0,0,0,0,40888
5UXTS3C58J0Y97925,2018,X3,X3 M40i,1,0,1,33551,CA,Canberra Beige Vernasca Lthr,Alpine White,3.0L STRAIGHT 6 CYLINDER,Gasoline,Automatic,AWD,27,20,0,1,0,0,44888
WBA8B9G50HNU49452,2017,3 Series,330i,1,0,0,30310,CA,Black SensaTec,Mineral Grey Metallic,2.0L 4 Cylinder Engine,Gasoline,Automatic,RWD,34,23,1,0,0,0,21500
WBA8B9G51HNU49265,2017,3 Series,330i,1,0,0,40500,CA,Black SensaTec/Red Stitching,Jet Black,2.0L 4 Cylinder Engine,Gasoline,Automatic,RWD,34,23,1,0,0,0,20900
WBA8B9G51HNU49279,2017,3 Series,3 Series,0,0,0,23453,CA,Black SensaTec/Red Stitching,Jet Black,2.0L 4 Cylinder Engine,Gasoline,Automatic,RWD,34,23,1,0,0,0,22900
WBA8B9G53JNU97470,2018,3 Series,330i Sedan SA,1,0,0,26061,CA,Black SensaTec/Red Stitching,Jet Black,2.0L 4 Cylinder Engine,Gasoline,Automatic,RWD,34,24,0,0,0,0,25500
WBA8B9G55JNU57925,2018,3 Series,330i Sedan SA,1,0,0,30690,CA,Black SensaTec,Glacier Silver Metallic,2.0L 4 Cylinder Engine,Gasoline,Automatic,RWD,34,24,0,0,0,0,24900
WBA8B9G56JNU98225,2018,3 Series,330i Sedan SA,1,0,0,22617,CA,Black SensaTec,Glacier Silver Metallic,2.0L 4 Cylinder Engine,Gasoline,Automatic,RWD,34,24,0,0,0,0,25900
WBA8B9G58JNU57806,2018,3 Series,330i Sedan SA,1,0,0,24455,CA,Black SensaTec,Jet Black,2.0L 4 Cylinder Engine,Gasoline,Automatic,RWD,34,24,0,0,0,0,24900
WBA8B9G58JNU58048,2018,3 Series,330i Sedan SA,1,0,0,25876,CA,Black SensaTec,Jet Black,2.0L 4 Cylinder Engine,Gasoline,Automatic,RWD,34,24,0,0,0,0,25500
